"Tabla Origen","Columna Local","Tabla Destino","Columna Destino"
pe_usuarios_programas,gn_usuarios_id,gn_usuarios,id
pe_variables,pe_programas_id,pe_programas,id
pe_variables_valores,pe_afiliados_programas_id,pe_afiliados_programas,id
pe_variables_valores,pe_variables_id,pe_variables,id
pe_variables_valores,pe_cargas_variables_id,pe_cargas_variables,id
pe_variables_valores_historicos,pe_afiliados_programas_id,pe_afiliados_programas,id
pe_variables_valores_historicos,pe_programas_id,pe_programas,id
pe_variables_valores_historicos,pe_variables_id,pe_variables,id
pe_variables_valores_historicos,pe_variables_valores_id,pe_variables_valores,id
pe_variables_valores_historicos,pe_cargas_variables_id,pe_cargas_variables,id
rco_acta_asistentes,rco_actas_id,rco_actas,id
rco_actas,rco_conciliaciones_id,rco_conciliaciones,id
rco_conciliacion_adjuntos,rco_conciliaciones_id,rco_conciliaciones,id
rco_conciliacion_gestiones,rco_conciliaciones_id,rco_conciliaciones,id
rco_conciliacion_gestiones,rco_factura_detalles_id,rco_factura_detalles,id
rco_conciliaciones,cnt_presadores_sedes_id,cnt_prestador_sedes,id
rco_factura_detalles,cm_detalle_id,cm_detalles,id
rco_factura_detalles,pe_programa_id,pe_programas,id
rco_factura_detalles,rco_facturas_id,rco_facturas,id
rco_factura_detalles,rco_grupos_id,rco_grupos,id
rco_factura_detalles,rco_conciliacion_id,rco_conciliaciones,id
rco_factura_detalles,cnt_prestadores_sedes_id,cnt_prestador_sedes,id
rco_factura_detalles,gn_usuario_responsable_id,gn_usuarios,id
rco_facturas,cm_facturas_id,cm_facturas,id
rco_facturas,cnt_prestadores_id,cnt_prestadores,id
rco_grupo_prestadores,cnt_prestador_id,cnt_prestadores,id
rco_grupo_prestadores,rco_grupo_id,rco_grupos,id
rco_grupo_programas,pe_programa_id,pe_programas,id
rco_grupo_programas,rco_grupo_id,rco_grupos,id
rco_grupo_usuarios,gn_usuarios_id,gn_usuarios,id
rco_grupo_usuarios,rco_grupos_id,rco_grupos,id
rco_grupos,pe_programas_id,pe_programas,id
ref_anexo9_adjuntos,ref_anexos9_id,ref_anexos9,id
ref_anexo9_datos_clinicos,ref_anexos9_id,ref_anexos9,id
ref_anexo9_diagnosticos,ref_anexos9_id,ref_anexos9,id
ref_anexo9_estados,ref_anexos9_id,ref_anexos9,id
ref_anexo9_gestiones,cnt_prestador_sedes_id,cnt_prestador_sedes,id
ref_anexo9_gestiones,ref_anexos9_id,ref_anexos9,id
ref_anexos9,aseg_afiliados_id,aseg_afiliados,id
ref_anexos9,cnt_ips_destino_id,cnt_prestador_sedes,id
ref_anexos9,cnt_prestador_sedes_id,cnt_prestador_sedes,id
ref_anexos9,cnt_prestador_sedes_ubicacion_id,cnt_prestador_sedes,id
ref_anexos9,cnt_profesionales_id,cnt_profesionales,id
ref_anexos9,gn_empresas_id,gn_empresas,id
ref_anexos9,gn_empresas_ubicacion_id,gn_ubicaciones,id
ref_transporte_insumos,ref_transportes_id,ref_transportes,id
ref_transporte_seguimientos,ref_transportes_id,ref_transportes,id
ref_transportes,ref_anexos9_id,ref_anexos9,id
ref_transportes,cnt_prestador_sedes_id,cnt_prestador_sedes,id
rt_proceso_ejecuciones,rt_procesos_id,rt_procesos,id
rt_proceso_ejecuciones,rt_reservas_id,rt_reservas,id
rt_reserva_archivo_procesos,rt_reserva_archivos_id,rt_reserva_archivos,id
rt_reserva_archivo_procesos,sp_procesos_id,rt_sp_procesos,id
rt_reserva_archivos,rt_reservas_id,rt_reservas,id
rt_sentencias,rt_procesos_id,rt_procesos,id
rt_sentencias_ejecuciones,rt_proceso_ejecuciones_id,rt_proceso_ejecuciones,id
rt_sentencias_ejecuciones,rt_sentencias_id,rt_sentencias,id
tu_adjuntos,tu_seguimientos_id,tu_seguimientos,id
tu_adjuntos,tu_tutela_estados_id,tu_tutela_estados,id
tu_adjuntos,tu_tutela_items_id,tu_tutela_items,id
tu_grupo_estados,tu_grupos_id,tu_grupos,id
tu_grupo_historicos,tu_grupos_id,tu_grupos,id
tu_grupo_usuarios,gn_usuarios_id,gn_usuarios,id
tu_grupo_usuarios,tu_grupos_id,tu_grupos,id
tu_juzgado_contactos,tu_juzgados_id,tu_juzgados,id
tu_juzgados,gn_ubicaciones_id,gn_ubicaciones,id
tu_memorial_firmas,tu_memorial_persona_id,tu_memorial_personas,id
tu_personas,ubicacion_afiliacion_id,gn_ubicaciones,id
tu_personas_contactos,tu_personas_id,tu_personas,id
tu_seguimientos,gestor_gn_usuario_id,gn_usuarios,id
tu_seguimientos,notificado_gn_usuario_id,gn_usuarios,id
tu_seguimientos,tu_tutela_estados_id,tu_tutela_estados,id
tu_tutela_diagnosticos,tu_tutelas_id,tu_tutelas,id
tu_tutela_diagnosticos,tu_tutela_items_id,tu_tutela_items,id
tu_tutela_estado_representantes,tu_representantes_id,tu_representantes,id
tu_tutela_estado_representantes,tu_tutela_estados_id,tu_tutela_estados,id
tu_tutela_estados,responsable_gn_usuario_id,gn_usuarios,id
tu_tutela_estados,gestor_gn_usuario_id,gn_usuarios,id
tu_tutela_estados,abogado_gn_usuario_id,gn_usuarios,id
tu_tutela_estados,medico_gn_usuario_id,gn_usuarios,id
tu_tutela_estados,tu_juzgados_id,tu_juzgados,id
tu_tutela_estados,tu_tutelas_id,tu_tutelas,id
tu_tutela_item_gestiones,tu_tutela_item_id,tu_tutela_items,id
tu_tutela_items,destino_cnt_prestador_sede_id,cnt_prestador_sedes,id
tu_tutela_items,prescripcion_cnt_prestador_sede_id,cnt_prestador_sedes,id
tu_tutela_items,gn_usuario_asignado_id,gn_usuarios,id
tu_tutela_items,tu_personas_id,tu_personas,id
tu_tutela_items,tu_tutela_estados_id,tu_tutela_estados,id
tu_tutela_items,tu_tutelas_id,tu_tutelas,id
tu_tutelas,gn_ubicacion_id,gn_ubicaciones,id
tu_tutelas,tu_personas_id,tu_personas,id
tu_tutelas,actual_tu_tutela_estados_id,tu_tutela_estados,id
ws_ant_transaccion_detalles,ant_anticipos_id,ant_anticipos,id
ws_cm_factura_detalles,ws_cm_facturas_id,ws_cm_facturas,id
ws_cm_facturas,cm_facturas_id,cm_facturas,id
ws_cm_facturas,cm_radicados_id,cm_radicados,id
ws_cm_transaccion_detalles,ws_cm_transacciones_id,ws_cm_transacciones,id
ws_cm_transacciones,cm_glosa_respuestas_id,cm_glosa_respuestas,id
ws_cm_transacciones,cm_auditoria_cierres_id,cm_auditoria_cierres,id
ws_cm_transacciones,cm_conciliaciones_id,cm_conciliaciones,id
ws_cm_transacciones,cm_radicados_id,cm_radicados,id
ws_conexiones_servicios,ws_conexiones_id,ws_conexiones,id
ws_conexiones_servicios,ws_servicios_id,ws_servicios,id
ws_tokens,ws_conexiones_id,ws_conexiones,id
ws_transacciones,ws_conexiones_id,ws_conexiones,id
ws_transacciones,ws_servicios_id,ws_servicios,id
