id,gn_empresas_id,cnt_prestadores_id,negociacion,contrato,descripcion,activo,mae_estado_contrato_id,mae_estado_contrato_codigo,mae_estado_contrato_valor,fecha_inicio,fecha_fin,valor,valor_mes,valor_presupuesto_total,dias_limite_pago,num_afiliados,mae_regimen_id,mae_regimen_codigo,mae_regimen_valor,autoriza_gestion,ejecucion_contrato_autorizado,ejecucion_contrato_prestado,ejecucion_total_contrato,impuesto_timbre,compra_directa,usuario_crea,terminal_crea,fecha_hora_crea,usuario_modifica,terminal_modifica,fecha_hora_modifica
3,1,475,,0019-2021,Prestacion de servicios de salud plan de beneficios,b'\x01',9599,02,NO VIGENTE,2021-01-01,2022-06-30,234178473.0,13009915.0,234178473.0,30,209345,,,,b'\x01',,,,b'\x00',b'\x00',djcastanor,localhost,2021-01-01 12:00:00,jospinag (JESUS ALBEIRO OSPINA GARCES),localhost,2021-12-13 15:33:47
4,1,401,,0014-2021,Prestacion de servicios de salud plan de beneficios,b'\x01',9599,02,NO VIGENTE,2021-01-01,2022-06-30,1065931428.0,59218413.0,1065931428.0,30,505717,,,,b'\x01',,,,b'\x00',b'\x00',djcastanor,localhost,2021-01-01 12:00:00,jospinag (JESUS ALBEIRO OSPINA GARCES),localhost,2021-12-13 15:30:01
